Iteration,Cost,Cost reduction,time (ms)
0,7.994738636846476,0.0,326.09081268310547
1,7.911722961909562,0.01038378847737531,1106.5163612365723
2,5.672367024405807,0.2904874965814678,5399.3775844573975
3,5.511685558262535,0.31058589797294256,10117.100238800049
4,5.38408121446049,0.3265469380517184,15020.87688446045
5,5.29488404449157,0.3377039219158092,21689.647912979126
6,4.262737067690921,0.4668072014206136,26174.00050163269
7,4.100233159927008,0.48713355793400337,30430.198669433594
8,3.781691466881358,0.5269774737285162,33830.24740219116
9,3.50947242159397,0.561027247917853,37664.02816772461
10,3.482571400507923,0.5643920885096473,42507.05933570862
11,3.355893538623799,0.5802372421335926,47406.02970123291
12,3.279828861782929,0.5897515840396932,51335.49952507019
13,3.1770418862268883,0.6026084115390078,57860.249042510986
14,3.1298788651192266,0.6085076689444088,62472.21040725708
15,3.0072837384082605,0.6238421448140694,66958.77289772034
16,2.992033058068158,0.6257497344217915,71777.18567848206
17,2.7178617828209184,0.66004369795221,76424.68118667603
18,2.600555486065954,0.6747166350028745,81406.55469894409
19,2.3718251318064953,0.7033267453078289,87401.98945999146
20,2.3120446663446006,0.7108042212050867,92254.47058677673
21,2.2931255526388354,0.7131706667594879,98917.73653030396
22,2.0156811672365595,0.7478740383148229,104393.17202568054
23,1.97284866614351,0.7532316244772574,110278.56349945068
24,1.889746736459694,0.7636262018935613,116425.6842136383
25,1.8482498970866303,0.7688167204655896,122416.51678085327
26,1.8387128198654117,0.7700096396658827,128201.53069496155
27,1.828170172017352,0.7713283379156878,134381.72554969788
28,1.822637071305378,0.7720204306736015,140799.60894584656
29,1.8214279819877048,0.7721716663015057,146594.8100090027
30,1.811496190244181,0.7734139572874486,152315.19174575806
31,1.8010524901396017,0.7747202789295903,158315.55104255676
32,1.7967596090253264,0.7752572422137294,163955.93667030334
33,1.7922283519691222,0.7758240221001063,170182.88040161133
34,1.7910862652072919,0.7759668768967054,176394.11282539368
35,1.7834814836836586,0.7769181001785503,182663.23947906494
36,1.782230652643907,0.7770745569555095,189271.67510986328
37,1.7822303677301627,0.7770745925931654,197411.68665885925
