Iteration,Cost,Cost reduction,time (ms)
0,7.994738636846476,0.0,26.62348747253418
1,7.930395498167826,0.008048185388087936,589.7986888885498
2,7.2383421530936225,0.09461178383827862,786.6077423095703
3,5.6987446528013965,0.2871881231317819,1129.0223598480225
4,5.187514300792433,0.3511339724248137,1560.3160858154297
5,5.132284432489444,0.358042249331884,1982.278823852539
6,3.9699975360644917,0.5034237244770697,2323.0998516082764
7,3.8229190782152314,0.5218206308088664,2689.5129680633545
8,3.8193758892520693,0.5222638209022651,3577.066421508789
9,3.814044557794306,0.5229306759052782,4480.933427810669
10,3.8137280786912036,0.5229702618276552,5523.38981628418
