Iteration,Cost,Cost reduction,time (ms)
0,1039.0111978541129,0.0,4259.40465927124
1,103.74513302876288,0.9001501300053075,11126.783847808838
2,79.59324942872091,0.9233951957465847,15079.468965530396
3,72.25576629816725,0.9304571823216167,15974.71570968628
4,11.273261785349865,0.9891500093467398,16520.18117904663
5,8.114365371314934,0.9921903003662774,18350.003004074097
6,6.4926479199103575,0.993751128059717,20693.922996520996
7,6.222775806714108,0.9940108674289881,23418.44367980957
8,6.073640406997846,0.9941544033215987,26086.009740829468
9,5.6715568047884055,0.9945413901058026,29699.994564056396
10,4.776587147533512,0.9954027568159047,33042.31309890747
11,4.387437755822881,0.9957772950234951,34741.3809299469
12,4.220221839076398,0.9959382325736311,36042.11783409119
13,4.210014672757756,0.9959480564969341,37957.154750823975
14,4.079519244137608,0.9960736522834758,39618.988037109375
15,3.9847782939265604,0.9961648360458902,41964.86568450928
16,3.632457412281476,0.9965039285237891,44032.65118598938
17,3.546287486366304,0.9965868630735737,46962.6989364624
18,3.45312786764359,0.9966765248779076,48466.928243637085
19,3.271571979697095,0.9968512639840129,50455.960512161255
20,3.2162168368356134,0.9969045407369256,52996.957540512085
21,3.062462027055136,0.9970525225970807,55196.51103019714
22,2.9818940576273554,0.9971300655240426,57359.66897010803
23,2.9813494927613164,0.9971305896424227,60326.46918296814
