Iteration,Cost,Cost reduction,time (ms)
0,5.0894186368464345,0.0,333.9512348175049
1,4.74707433154054,0.06726589611382838,1309.9751472473145
2,4.045748765122825,0.205066618840831,3771.7761993408203
3,3.6330775170220995,0.2861507814037342,5636.6212368011475
4,3.0083143523074938,0.40890805670261365,7663.65385055542
5,2.4477593889602636,0.5190493131692988,10309.284210205078
6,2.0706141087115295,0.5931531169944102,12770.750284194946
7,1.9485952198538323,0.6171281321315623,15115.927934646606
8,1.8160534791801048,0.6431707413431823,17208.78767967224
9,1.733873818372428,0.6593179020842366,19463.306188583374
10,1.713788113514932,0.6632644638215791,21888.803482055664
11,1.6752316819861974,0.6708402665369606,24212.965726852417
12,1.6591870653257086,0.6739928106299793,26729.89010810852
13,1.6519905374209953,0.6754068283043383,29536.163091659546
14,1.6191777556954596,0.6818540836918157,32181.506395339966
15,1.5966654638724085,0.6862774360291664,35049.320936203
16,1.588068034103108,0.6879667114420901,37724.81870651245
17,1.5852657231816385,0.6885173265754535,40483.060359954834
18,1.5827217214305436,0.6890171875483113,43020.777463912964
19,1.5796353440370137,0.6896236177938379,45728.395223617554
20,1.5739100558057788,0.6907485573281463,48279.47473526001
21,1.5726182564590143,0.6910023779388959,50887.983560562134
22,1.5717495670486539,0.6911730633299681,53517.06552505493
